zip,total_calls,NAME,variable,estimate,moe
20874,62,ZCTA5 20874,population,45448,1322
20852,56,ZCTA5 20852,population,36732,1013
20906,51,ZCTA5 20906,population,54629,1193
20877,50,ZCTA5 20877,population,29390,1038
20850,43,ZCTA5 20850,population,41178,1027
20878,43,ZCTA5 20878,population,47893,1024
20902,40,ZCTA5 20902,population,39237,1126
20904,40,ZCTA5 20904,population,42250,1214
20910,31,ZCTA5 20910,population,36327,1216
20886,25,ZCTA5 20886,population,26199,1069
20876,22,ZCTA5 20876,population,22429,952
20853,20,ZCTA5 20853,population,23927,810
20879,20,ZCTA5 20879,population,19333,1026
20901,19,ZCTA5 20901,population,27179,814
20817,18,ZCTA5 20817,population,27626,764
20871,14,ZCTA5 20871,population,12558,632
20895,14,ZCTA5 20895,population,13798,474
20855,12,ZCTA5 20855,population,12213,759
20814,10,ZCTA5 20814,population,22688,589
20854,8,ZCTA5 20854,population,36864,784
20872,8,ZCTA5 20872,population,9786,476
20882,8,ZCTA5 20882,population,11093,561
20815,6,ZCTA5 20815,population,24087,658
20851,6,ZCTA5 20851,population,11671,770
20903,6,ZCTA5 20903,population,20093,1091
20866,5,ZCTA5 20866,population,11997,685
20816,4,ZCTA5 20816,population,11810,399
20905,4,ZCTA5 20905,population,14577,945
20841,3,ZCTA5 20841,population,7787,560
20832,2,ZCTA5 20832,population,20092,557
20837,2,ZCTA5 20837,population,4777,238
20860,2,ZCTA5 20860,population,1677,290
20707,1,ZCTA5 20707,population,25094,765
20833,1,ZCTA5 20833,population,5607,421
20861,1,ZCTA5 20861,population,1328,260
21794,1,ZCTA5 21794,population,1665,333
